,Job-Titles,Department,Salary-interval,Zip
9290,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",52320
9291,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2880
9292,FIRE ENGINEER-EMT,FIRE,"95369.47341914715,125058.52658085285",2300
9293,ALDERMAN,CITY COUNCIL,"96671.47341914715,126360.52658085285",3450
9294,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",27240
9295,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",27500
9296,STORES LABORER,PROCUREMENT,"68771.47341914715,98460.52658085285",51700
9297,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",31380
9298,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28120
9299,POLICE COMMUNICATIONS OPERATOR II,OEMC,"60155.47341914715,89844.52658085285",32390
9300,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",27500
9301,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2860
9302,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",5200
9303,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",20170
9304,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",33210
9305,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"76235.47341914715,105924.52658085285",29680
9306,FIREFIGHTER,FIRE,"75179.47341914715,104868.52658085285",29840
9307,PROGRAM AUDITOR II,FAMILY & SUPPORT,"77747.47341914715,107436.52658085285",20251
9308,AIRPORT OPERATIONS SUPVSR I,AVIATION,"73463.47341914715,103152.52658085285",27670
9309,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2100
9310,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",2480
9311,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",4220
9312,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",2270
9313,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",33126
9314,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",27160
9315,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",33350
9316,PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,"60155.47341914715,89844.52658085285",30340
9317,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2840
9318,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",28630
9319,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",28480
9320,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2120
9321,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",1190
9322,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",28480
9323,FIREFIGHTER,FIRE,"72161.47341914715,101850.52658085285",50340
9324,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",32320
9325,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",27510
9326,GRAPHIC ARTIST III,POLICE,"65723.47341914715,95412.52658085285",31600
9327,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30620
9328,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",28500
9329,PARKING ENFORCEMENT AIDE,FINANCE,"60155.47341914715,89844.52658085285",3250
9330,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27800
9331,DEPUTY COMMISSIONER,AVIATION,"103175.47341914715,132864.52658085286",2110
9332,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",27230
9333,GENERAL LABORER - AVIATION,AVIATION,"60155.47341914715,89844.52658085285",7300
9334,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2290
9335,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31390
9336,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",4000
9337,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",32140
9338,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",32230
9339,SUPRVNG BUILDING/CONTRUCT INSPECTOR,BUILDINGS,"113243.47341914715,142932.52658085286",9110
9340,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",31530
9341,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",3420
9342,SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,OEMC,"60155.47341914715,89844.52658085285",4260
9343,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",52160
9344,LABORER,GENERAL SERVICES,"68771.47341914715,98460.52658085285",33190
9345,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",27190
9346,PARALEGAL II,LAW,"69575.47341914715,99264.52658085285",30350
9347,PARAMEDIC I/C,FIRE,"67769.47341914715,97458.52658085285",2840
9348,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",33210
9349,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",29380
9350,BUSINESS COMPLIANCE INVESTIGATOR,BUSINESS AFFAIRS,"65723.47341914715,95412.52658085285",2880
9351,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",33410
9352,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7200
9353,PERFORMANCE ANALYST,INSPECTOR GEN,"60155.47341914715,89844.52658085285",20243
9354,DETENTION AIDE,POLICE,"62675.47341914715,92364.52658085285",31600
9355,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31480
9356,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",31100
9357,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2160
9358,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31470
9359,BOILER MAKER WELDER,TRANSPORTN,"79649.87341914714,109338.92658085284",28360
9360,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",3220
9361,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1360
9362,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50620
9363,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",33480
9364,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",33390
9365,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",2000
9366,ASST SERGEANT AT ARMS,CITY COUNCIL,"60155.47341914715,89844.52658085285",33570
9367,ACCOUNTANT II,FINANCE,"69671.47341914715,99360.52658085285",31290
9368,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",9120
9369,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2250
9370,FIRE ENGINEER-EMT,FIRE,"92261.47341914715,121950.52658085285",27480
9371,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",27150
9372,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",20227
9373,DEPUTY CORPORATION COUNSEL,LAW,"124967.47341914715,154656.52658085286",27210
9374,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",2840
9375,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30730
9376,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32230
9377,FINANCIAL ANALYST,DoIT,"78455.47341914715,108144.52658085285",32380
9378,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",33370
9379,COMMUNICATIONS OPERATOR I - 311,OEMC,"60155.47341914715,89844.52658085285",32190
9380,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",29140
9381,LIBRARY ASSOCIATE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26230
9382,CARPENTER,GENERAL SERVICES,"79483.47341914715,109172.52658085285",30580
9383,DEPUTY CORPORATION COUNSEL,LAW,"124967.47341914715,154656.52658085286",32120
9384,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",50480
9385,PLUMBING INSPECTOR,WATER MGMNT,"87665.47341914715,117354.52658085285",1110
9386,AUDITOR II,FAMILY & SUPPORT,"77543.47341914715,107232.52658085285",27480
9387,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"83207.47341914715,112896.52658085285",51480
9388,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",8400
9389,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31350
9390,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",26160
9391,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",30330
9392,FIREFIGHTER-EMT,FIRE,"84479.47341914715,114168.52658085285",26130
9393,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",31260
9394,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",2820
9395,FIREFIGHTER/PARAMEDIC,FIRE,"72047.47341914715,101736.52658085285",33890
9396,ALDERMANIC AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",27640
9397,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",27440
9398,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8250
9399,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27410
9400,LIBRARIAN IV,PUBLIC LIBRARY,"85931.47341914715,115620.52658085285",8460
9401,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32340
9402,CEMENT FINISHER,TRANSPORTN,"77195.47341914715,106884.52658085285",26740
9403,EXECUTIVE SECRETARY II,TRANSPORTN,"60155.47341914715,89844.52658085285",9700
9404,FOREMAN OF ELECTRICAL MECHANICS,AVIATION,"87283.47341914715,116972.52658085285",26230
9405,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",2580
9406,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",4350
9407,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",32300
9408,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",3450
9409,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",2160
9410,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31300
9411,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",7600
9412,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",20151
9413,CAPTAIN,FIRE,"114125.47341914715,143814.52658085286",32200
9414,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32190
9415,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",30170
9416,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20215
9417,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",20235
9418,AVIATION SECURITY OFFICER,AVIATION,"62675.47341914715,92364.52658085285",30570
9419,STAFF ASST,FAMILY & SUPPORT,"77747.47341914715,107436.52658085285",32700
9420,FOREMAN OF SIGN HANGERS,TRANSPORTN,"60155.47341914715,89844.52658085285",28320
9421,LEGISLATIVE AIDE,CITY COUNCIL,"61835.47341914715,91524.52658085285",9250
9422,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",20275
9423,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",20250
9424,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",2580
9425,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",1140
9426,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",33760
9427,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,"60155.47341914715,89844.52658085285",52330
9428,SANITARIAN II,HEALTH,"65723.47341914715,95412.52658085285",51290
9429,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",1360
9430,SR PROCUREMENT SPECIALIST,PROCUREMENT,"87503.47341914715,117192.52658085285",2310
9431,LIEUTENANT,FIRE,"92945.47341914715,122634.52658085285",3290
9432,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2120
9433,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",2000
9434,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",29540
9435,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",29530
9436,FIREFIGHTER,FIRE,"75179.47341914715,104868.52658085285",27320
9437,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",32240
9438,HOSPITALITY WORKER,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",8390
9439,HOISTING ENGINEER,STREETS & SAN,"87283.47341914715,116972.52658085285",29970
9440,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",1230
9441,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",33670
9442,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",5700
9443,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",1250
9444,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",20190
9445,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",9800
9446,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2350
9447,ASST CORPORATION COUNSEL SUPVSR,LAW,"94979.47341914715,124668.52658085285",32300
9448,LIBRARIAN I,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",27120
9449,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",29400
9450,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",3110
9451,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",51800
9452,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31220
9453,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",2160
9454,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",28630
9455,FIRE ENGINEER-EMT,FIRE,"92261.47341914715,121950.52658085285",8300
9456,UNIT ASST,GENERAL SERVICES,"60155.47341914715,89844.52658085285",27200
9457,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",1430
9458,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",2140
9459,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",27350
9460,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",51310
9461,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2690
9462,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26270
9463,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",51170
9464,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1300
9465,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",51120
9466,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2200
9467,MEDICAL DIR,HEALTH,"133439.47341914714,163128.52658085286",51400
9468,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,"98009.47341914715,127698.52658085285",32230
9469,TESTING SPECIALIST,HUMAN RESOURCES,"60155.47341914715,89844.52658085285",2000
9470,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,"86763.47341914715,116452.52658085285",31310
9471,LIEUTENANT,POLICE,"112847.47341914715,142536.52658085286",2130
9472,ATTORNEY,AVIATION,"95243.47341914715,124932.52658085285",1150
9473,ASST CORPORATION COUNSEL I,LAW,"60155.47341914715,89844.52658085285",26730
9474,CULTURAL AFFAIRS COORD II,CULTURAL AFFAIRS,"60155.47341914715,89844.52658085285",31230
9475,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",4250
9476,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",8400
9477,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",29600
9478,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",31410
9479,AVIATION SECURITY SERGEANT,AVIATION,"60155.47341914715,89844.52658085285",28170
9480,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",28250
9481,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32340
9482,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",26540
9483,AIRPORT OPERATIONS SUPVSR I,AVIATION,"60155.47341914715,89844.52658085285",32260
9484,DIRECTOR OF LIBRARY TECHNOLOGY,PUBLIC LIBRARY,"114695.47341914714,144384.52658085283",2500
9485,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",27270
9486,LEGISLATIVE AIDE,CITY COUNCIL,"62639.47341914715,92328.52658085285",31430
9487,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",51150
9488,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",2000
9489,MARINE ENGINEER,WATER MGMNT,"90819.47341914715,120508.52658085285",3220
9490,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",27180
9491,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",4200
9492,SUPERVISING BRIDGE OPERATOR,TRANSPORTN,"69539.47341914715,99228.52658085285",2200
9493,PARAMEDIC I/C,FIRE,"76235.47341914715,105924.52658085285",30360
9494,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",27560
9495,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31430
9496,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",2360
9497,CHIEF ASST CORPORATION COUNSEL,LAW,"112223.47341914715,141912.52658085286",31850
9498,POLICE LEGAL OFFICER II,POLICE,"109049.47341914715,138738.52658085286",29800
9499,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",29870
9500,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",2220
9501,ATTORNEY,BUSINESS AFFAIRS,"60155.47341914715,89844.52658085285",27850
9502,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",28410
9503,ATTORNEY,BUSINESS AFFAIRS,"60155.47341914715,89844.52658085285",29400
9504,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",52150
9505,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",2120
9506,LIBRARIAN IV,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",52320
9507,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,"61283.47341914715,90972.52658085285",27240
9508,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",3450
9509,COMMISSIONER OF BUILDINGS,BUILDINGS,"142247.47341914714,171936.52658085286",4510
9510,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",9300
9511,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",1360
9512,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32190
9513,LIBRARIAN II,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",31580
9514,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",4240
9515,ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",32300
9516,OPERATING ENGINEER-GROUP C,WATER MGMNT,"78901.07341914716,108590.12658085286",2500
9517,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",50220
9518,FINANCE OFFICER,LAW,"69479.47341914715,99168.52658085285",2200
9519,STAFF ASST,AVIATION,"77747.47341914715,107436.52658085285",7140
9520,ASST COMMISSIONER,COMMUNITY DEVELOPMENT,"77183.47341914715,106872.52658085285",20190
9521,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,"81043.47341914715,110732.52658085285",28320
9522,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",20160
9523,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",1450
9524,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2000
9525,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29690
9526,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2340
9527,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",3210
9528,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",33530
9529,LAMP MAINTENANCE WORKER,TRANSPORTN,"64486.67341914715,94175.72658085285",33124
9530,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",5230
9531,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51290
9532,COORDINATING PLANNER,TRANSPORTN,"76283.47341914715,105972.52658085285",2250
9533,CLERK IV,HEALTH,"60155.47341914715,89844.52658085285",2500
9534,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",26190
9535,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",2810
9536,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",30570
9537,REFUSE COLLECTION COORD,STREETS & SAN,"86699.47341914715,116388.52658085285",26270
9538,ELECTRICAL MECHANIC,AVIATION,"81043.47341914715,110732.52658085285",4110
9539,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",2100
9540,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",31860
9541,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",27300
9542,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32300
9543,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",33570
9544,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",30340
